Date,Open,High,Low,Close,Volume
2025-07-01,145.00,147.50,144.00,146.50,50000000
2025-07-02,146.50,148.00,145.50,147.00,48000000
2025-07-03,147.00,149.00,146.00,148.50,52000000
2025-07-07,148.50,150.00,147.50,149.00,45000000
2025-07-08,149.00,151.50,148.00,151.00,55000000
2025-07-09,151.00,152.00,149.50,150.50,47000000
2025-07-10,150.50,153.00,150.00,152.50,53000000
2025-07-14,152.50,154.00,151.50,153.00,49000000
2025-07-15,153.00,155.50,152.00,155.00,56000000
2025-07-16,155.00,156.00,153.50,154.50,51000000
2025-07-17,154.50,157.00,154.00,156.50,54000000
2025-07-21,156.50,158.00,155.50,157.00,48000000
2025-07-22,157.00,159.50,156.00,159.00,57000000
2025-07-23,159.00,160.00,157.50,158.50,50000000
2025-07-24,158.50,161.00,158.00,160.50,55000000
2025-07-28,160.50,162.00,159.50,161.00,52000000
2025-07-29,161.00,163.50,160.00,163.00,58000000
2025-07-30,163.00,164.00,161.50,162.50,49000000
2025-07-31,162.50,165.00,162.00,164.50,56000000
2025-08-04,164.50,166.00,163.50,165.00,53000000
2025-08-05,165.00,167.50,164.00,167.00,59000000
2025-08-06,167.00,168.00,165.50,166.50,50000000
2025-08-07,166.50,169.00,166.00,168.50,57000000
2025-08-11,168.50,170.00,167.50,169.00,54000000
2025-08-12,169.00,171.50,168.00,171.00,60000000
2025-08-13,171.00,172.00,169.50,170.50,51000000
2025-08-14,170.50,173.00,170.00,172.50,58000000
2025-08-18,172.50,174.00,171.50,173.00,55000000
2025-08-19,173.00,175.50,172.00,175.00,61000000
2025-08-20,175.00,176.00,173.50,174.50,52000000
2025-08-21,174.50,177.00,174.00,176.50,59000000
2025-08-25,176.50,178.00,175.50,177.00,56000000
2025-08-26,177.00,179.50,176.00,179.00,62000000
2025-08-27,179.00,180.00,177.50,178.50,53000000
2025-08-28,178.50,181.00,178.00,180.50,60000000
2025-09-01,180.50,182.00,179.50,181.00,57000000
2025-09-02,181.00,183.50,180.00,183.00,63000000
2025-09-03,183.00,184.00,181.50,182.50,54000000
2025-09-04,182.50,180.00,178.00,179.00,65000000
2025-09-08,179.00,180.50,177.00,178.00,58000000
2025-09-09,178.00,179.00,175.50,176.50,62000000
2025-09-10,176.50,178.00,174.00,175.00,60000000
2025-09-11,175.00,177.50,173.50,174.00,64000000
2025-09-15,174.00,176.00,172.00,173.50,59000000
2025-09-16,173.50,175.00,171.50,172.00,63000000
2025-09-17,172.00,174.50,170.00,171.00,61000000
2025-09-18,171.00,173.00,169.50,170.50,65000000
2025-09-22,170.50,172.00,168.00,169.00,60000000
2025-09-23,169.00,171.50,167.50,168.00,64000000
2025-09-24,168.00,170.00,166.00,167.50,62000000
2025-09-25,167.50,170.50,167.00,170.00,66000000
2025-09-29,170.00,172.50,169.00,171.50,61000000
2025-09-30,171.50,174.00,170.50,173.00,65000000
2025-10-01,173.00,175.50,172.00,175.00,63000000
2025-10-02,175.00,177.00,174.00,176.50,67000000
2025-10-06,176.50,178.50,175.50,178.00,62000000
2025-10-07,178.00,180.00,177.00,179.50,66000000
2025-10-08,179.50,181.50,178.50,181.00,64000000
2025-10-09,181.00,183.00,180.00,182.50,68000000
2025-10-13,182.50,184.50,181.50,184.00,63000000
2025-10-14,184.00,186.00,183.00,185.50,67000000
2025-10-15,185.50,187.00,184.50,186.00,65000000
2025-10-16,186.00,188.00,185.00,187.50,69000000
2025-10-20,187.50,189.00,186.50,188.00,64000000
2025-10-21,188.00,190.00,187.00,189.50,68000000
2025-10-22,189.50,191.00,188.50,190.00,66000000
2025-10-23,190.00,188.00,186.00,187.00,70000000
2025-10-27,187.00,189.00,185.50,186.00,65000000
2025-10-28,186.00,188.50,184.00,185.00,69000000
2025-10-29,185.00,187.00,183.50,184.50,67000000
2025-10-30,184.50,186.50,183.00,185.50,71000000
2025-11-03,185.50,187.50,184.50,187.00,66000000
2025-11-04,187.00,189.00,186.00,188.50,70000000
2025-11-05,188.50,190.50,187.50,190.00,68000000
2025-11-06,190.00,191.50,189.00,191.00,72000000
2025-11-10,191.00,193.00,190.00,192.50,67000000
2025-11-11,192.50,194.00,191.50,193.00,71000000
2025-11-12,193.00,195.00,192.00,194.50,69000000
2025-11-13,194.50,196.00,193.50,195.00,73000000
2025-11-17,195.00,193.00,191.00,192.00,68000000
2025-11-18,192.00,194.00,190.50,191.00,72000000
2025-11-19,191.00,193.50,189.00,190.00,70000000
2025-11-20,190.00,192.00,188.50,189.50,74000000
2025-11-24,189.50,191.50,188.00,190.50,69000000
2025-11-25,190.50,192.50,189.50,192.00,73000000
2025-11-26,192.00,194.00,191.00,193.50,71000000
2025-12-01,193.50,195.50,192.50,195.00,75000000
2025-12-02,195.00,196.50,194.00,196.00,70000000
2025-12-03,196.00,197.50,195.00,197.00,74000000
2025-12-04,197.00,198.00,196.00,197.50,72000000
2025-12-08,197.50,199.00,196.50,198.50,76000000
