Date,Close
2025-01-26,1.000
2025-01-29,1.015
2025-02-02,1.045
2025-02-05,1.080
2025-02-09,1.120
2025-02-12,1.170
2025-02-16,1.230
2025-02-19,1.290
2025-02-23,1.360
2025-02-26,1.420
2025-03-02,1.480
2025-03-05,1.530
2025-03-09,1.560
2025-03-12,1.590
2025-03-16,1.540
2025-03-19,1.470
2025-03-23,1.390
2025-03-26,1.310
2025-03-30,1.230
2025-04-02,1.150
2025-04-06,1.090
2025-04-09,1.050
2025-04-13,1.016
2025-04-16,1.005
2025-04-20,0.998
2025-04-23,0.990
2025-04-27,0.985
2025-04-30,0.980
2025-05-04,0.975
2025-05-07,0.972
2025-05-11,0.968
2025-05-14,0.965
2025-05-18,0.963
2025-05-21,0.960
2025-05-25,0.958
2025-05-28,0.962
2025-05-31,0.957
2025-06-04,0.955
2025-06-08,0.960
2025-06-11,0.958
2025-06-15,0.963
2025-06-18,0.960
2025-06-22,0.965
2025-06-25,0.962
2025-06-29,0.968
2025-07-02,0.965
2025-07-06,0.970
2025-07-09,0.975
2025-07-13,0.972
2025-07-16,0.978
2025-07-20,0.982
2025-07-23,0.985
2025-07-27,0.990
2025-07-30,0.995
2025-08-03,1.000
2025-08-06,1.005
2025-08-10,1.010
2025-08-13,1.020
2025-08-17,1.025
2025-08-20,1.030
2025-08-24,1.038
2025-08-27,1.045
2025-08-31,1.055
2025-09-03,1.065
2025-09-07,1.075
2025-09-10,1.085
2025-09-14,1.095
2025-09-17,1.105
2025-09-21,1.115
2025-09-24,1.125
2025-09-28,1.135
2025-10-01,1.145
2025-10-05,1.155
2025-10-08,1.165
2025-10-12,1.175
2025-10-15,1.185
2025-10-19,1.195
2025-10-22,1.205
2025-10-26,1.215
2025-10-29,1.225
2025-11-02,1.235
2025-11-05,1.242
2025-11-09,1.250
2025-11-12,1.258
2025-11-16,1.265
2025-11-19,1.272
2025-11-23,1.280
2025-11-26,1.288
2025-11-30,1.295
2025-12-03,1.302
2025-12-07,1.308
2025-12-10,1.312
2025-12-14,1.318
2025-12-17,1.322
2025-12-21,1.326
2025-12-24,1.328
2025-12-28,1.330
2026-01-01,1.331
2026-01-04,1.335
2026-01-08,1.340
2026-01-11,1.348
2026-01-15,1.355
2026-01-18,1.362
2026-01-22,1.370
2026-01-25,1.378
2026-01-29,1.385
2026-02-01,1.392
2026-02-05,1.400
2026-02-08,1.408
2026-02-12,1.415
2026-02-15,1.422
2026-02-19,1.430
2026-02-22,1.438
2026-02-26,1.445
2026-03-01,1.452
2026-03-05,1.458
2026-03-08,1.465
2026-03-12,1.475
2026-03-15,1.485
2026-03-19,1.492
2026-03-22,1.498
2026-03-26,1.505
2026-03-29,1.512
2026-04-02,1.522
2026-04-03,1.526
